airbnb_listing_id,diaria_media,diaria_mediana,dias_ocupados,min_data,max_data,qtd_linhas
996227938456591020,333.5342465753425,350.0,73,2025-01-28,2025-04-20,73
999226382307972271,487.9647058823529,400.0,85,2025-01-20,2025-04-20,85
1002341236260011015,351.85185185185185,350.0,54,2025-01-30,2025-04-20,54
1002785860497857801,544.29375,500.0,80,2025-01-23,2025-04-20,80
1004496327455456339,382.94444444444446,380.0,81,2025-01-10,2025-04-19,81
1004910078575857573,753.2407407407408,750.0,27,2025-01-19,2025-03-16,27
1005860682746801029,403.52,385.0,75,2025-01-30,2025-04-20,75
1005958896607152946,246.54545454545453,240.0,55,2025-01-10,2025-03-31,55
1006396584243125090,553.4327301204819,524.3333,83,2025-01-17,2025-04-20,83
1008029204257210230,302.33639735294116,300.0,68,2025-01-21,2025-03-31,68
1011115904222911872,767.753164556962,700.0,79,2025-01-14,2025-04-17,79
1011714999685071594,556.0357142857143,557.0,28,2025-03-24,2025-04-20,28
1014245162199655907,560.4651162790698,600.0,43,2025-03-06,2025-04-17,43
1015691857467598452,1225.3090909090909,1296.0,55,2025-01-20,2025-03-31,55
1016100494032497541,370.6923076923077,369.0,78,2025-01-07,2025-04-06,78
1019041007385326527,675.8255813953489,575.0,43,2025-02-17,2025-04-07,43
1019453731090411731,437.24117647058824,380.0,85,2025-01-26,2025-04-20,85
1019756845213291605,173.32638888888889,179.0,72,2025-01-23,2025-04-20,72
1021217453140595481,398.82608695652175,330.0,46,2025-01-07,2025-04-06,46
1023885231203292759,513.5166664999999,490.0,80,2025-01-26,2025-04-20,80
1024067179174522246,215.5504762857143,200.0,70,2025-01-26,2025-04-05,70
1025356251415331533,363.80555555555554,350.0,36,2025-01-17,2025-04-20,36
1028988415727336651,561.97619,570.0,70,2025-01-17,2025-04-06,70
1030981527494824971,306.6111111111111,250.0,27,2025-02-07,2025-04-08,27
1031938290013047428,639.7591463414634,590.0,82,2025-01-15,2025-04-20,82
1032037416009523135,550.7972972972973,556.0,37,2025-01-24,2025-03-05,37
1033202997223117530,1938.8908034482758,1800.0,29,2025-01-23,2025-03-15,29
1034873975277447845,788.3803758064516,655.25,62,2025-01-19,2025-04-20,62
1035628196408986358,948.0813953488372,805.0,43,2025-01-31,2025-04-20,43
1036955655225647222,463.07142857142856,500.0,70,2025-01-13,2025-04-07,70
1037004838842410100,310.7857142857143,330.0,35,2025-01-28,2025-03-31,35
1037047027853581998,1012.8546511627907,890.0,43,2025-01-08,2025-03-31,43
1039235354309448898,186.66666666666666,150.0,75,2025-01-21,2025-04-17,75
1042032092670718662,411.0344827586207,402.0,29,2025-01-27,2025-04-11,29
1043497443334655968,870.8373023809525,870.0,42,2025-03-06,2025-04-20,42
1043599286749467076,501.05645161290323,402.25,62,2025-01-29,2025-03-31,62
1044223371798078486,801.0714285714286,800.0,70,2025-01-07,2025-04-06,70
1044458170286255125,837.3363636363637,820.0,55,2025-02-12,2025-04-16,55
1045077329214831775,800.0,800.0,31,2025-03-20,2025-04-19,31
1045459185575382038,514.6236559139785,500.0,93,2025-01-12,2025-04-20,93
1045520246239520927,950.7818938271605,957.1429,81,2025-01-30,2025-04-20,81
1045592510645908121,502.9846153846154,500.0,65,2025-01-09,2025-04-06,65
1045916135727198441,669.1666661016949,650.0,59,2025-02-21,2025-04-20,59
1046547202929220520,387.1426552542373,378.0,59,2025-01-29,2025-04-20,59
1047723626454445067,1618.4118576923076,1650.0,104,2025-01-07,2025-04-20,104
1048804459244346908,714.560975609756,700.0,82,2025-01-07,2025-04-20,82
1049417084065072931,657.6666666666666,677.5,12,2025-01-20,2025-01-31,12
1050857413300266721,655.0344827586207,614.0,58,2025-01-15,2025-04-02,58
1052110098791057231,687.6603773584906,575.0,53,2025-01-08,2025-04-20,53
1052490589225547467,698.1119402985074,700.0,67,2025-02-13,2025-04-20,67
1053030252161966865,276.72289156626505,280.0,83,2025-01-28,2025-04-20,83
1053132609735844516,990.9090909090909,1050.0,11,2025-02-27,2025-03-09,11
1053425333694349352,195.72916666666666,185.0,48,2025-01-13,2025-04-07,48
1053522951026570547,655.2383720930233,599.5,86,2025-01-25,2025-04-20,86
1053625763515857065,494.7997694444445,450.0,72,2025-02-05,2025-04-20,72
1053851019443958006,503.9,499.0,90,2025-01-21,2025-04-20,90
1054265461023254222,516.6268656716418,500.0,67,2025-01-11,2025-04-16,67
1055163452693752832,579.4791666666666,500.0,72,2025-01-22,2025-04-20,72
1056816282920055514,572.9470904761905,540.0,63,2025-01-11,2025-03-31,63
1056827534457537585,315.01539880434785,299.0,92,2025-01-19,2025-04-20,92
